playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,
hosmeer01,2013,1,KCA,AL,570,2184,271,601,118,9,59,275,42,12,176,370,19,7,1,20,50,
teherju01,2014,1,ATL,NL,70,129,2,20,4,0,0,8,0,0,4,38,0,1,14,0,2,
campato01,2012,1,CHN,NL,257,438,70,109,10,2,1,16,66,9,27,103,1,2,10,0,1,
kozmape01,2013,1,SLN,NL,199,522,61,123,29,3,3,50,5,1,48,118,9,0,3,5,10,
duffyda01,2014,1,KCA,AL,51,9,1,0,0,0,0,0,0,0,0,5,0,0,1,0,0,
noesihe01,2014,3,CHA,AL,50,8,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,
carreez01,2011,1,CLE,AL,176,435,62,110,18,7,2,28,25,7,28,89,2,5,9,1,10,
frazito01,2014,1,CIN,NL,476,1662,223,428,82,10,73,235,30,15,145,394,4,26,2,11,34,
cruzto03,2014,1,SLN,NL,190,449,43,101,25,2,3,47,0,5,26,85,3,3,2,2,18,
delarru01,2011,1,LAN,NL,32,16,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,
crawfbr01,2013,1,SFN,NL,511,1621,172,393,75,18,26,178,8,12,157,351,23,10,6,16,22,
nicasju01,2013,1,COL,NL,88,100,4,12,2,0,0,8,0,0,6,62,0,0,14,1,0,
lemahdj01,2014,1,COL,NL,376,1187,127,328,50,12,9,96,29,19,66,218,13,3,18,7,36,
harrijo05,2014,1,PIT,NL,372,1052,142,297,61,16,20,98,31,11,37,152,1,14,16,6,19,
lylesjo01,2014,1,COL,NL,96,117,9,18,4,0,2,7,0,0,6,53,0,0,11,0,3,
lindbjo01,2011,1,LAN,NL,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
lynnla01,2014,1,SLN,NL,119,168,10,11,1,0,0,4,0,0,11,101,0,1,25,1,1,
cletoma01,2013,1,SLN,NL,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
carpema01,2013,1,SLN,NL,436,1532,269,449,111,14,25,183,9,7,205,276,5,20,5,23,17,
brothre01,2012,1,COL,NL,195,4,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,
gordode01,2014,1,LAN,NL,329,1230,173,335,43,17,4,68,130,38,68,217,2,8,8,5,9,
blackch02,2014,1,COL,NL,305,1050,141,304,53,5,28,111,41,13,45,170,6,19,10,5,10,
weeksje01,2012,1,OAK,AL,240,896,115,233,44,17,4,59,40,16,75,139,1,10,13,8,9,
handbr01,2014,1,MIA,NL,52,49,1,3,0,0,0,2,0,0,0,16,0,0,7,0,2,
watsoto01,2014,1,PIT,NL,256,6,0,1,0,0,0,0,0,0,0,5,0,0,2,0,0,
phelpco01,2011,1,CLE,AL,56,116,12,18,2,1,2,11,1,0,9,29,0,0,1,0,3,
rizzoan01,2013,1,CHN,NL,436,1595,213,405,91,4,71,215,16,12,197,351,16,28,0,7,29,
moustmi01,2012,1,KCA,AL,514,1830,182,432,99,3,52,199,10,6,128,332,6,16,4,15,34,
brownan02,2013,1,NYN,NL,144,328,37,72,14,0,14,45,3,2,28,101,0,1,2,3,9,
bassan01,2012,1,SDN,NL,76,38,3,4,0,1,0,6,1,0,0,17,0,0,1,0,0,
matthry01,2012,1,WAS,NL,66,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
ackledu01,2012,1,SEA,AL,499,1826,227,448,83,15,36,182,29,10,168,365,10,4,8,7,22,
delgara01,2013,1,ARI,NL,93,76,5,14,0,0,0,2,0,0,1,32,0,0,10,0,2,
darnach01,2011,1,PIT,NL,56,149,19,31,6,2,0,7,13,2,4,38,0,1,2,1,3,
fryerer01,2014,1,MIN,AL,50,118,18,29,5,0,2,9,2,1,12,26,1,1,0,0,1,
chiselo01,2014,1,CLE,AL,345,1121,135,291,65,2,36,133,7,2,71,231,4,12,6,4,21,
carpeda01,2013,1,ATL,NL,87,5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,
beavabl01,2012,1,SEA,AL,26,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,
santihe01,2014,1,LAA,AL,64,8,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,
cozarza01,2013,1,CIN,NL,447,1671,200,406,81,12,33,139,11,0,82,300,5,12,21,13,44,
mcallza01,2013,1,CLE,AL,46,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,
seageky01,2013,1,SEA,AL,527,1981,234,519,107,7,70,264,32,14,179,386,5,22,5,14,33,
troutmi01,2014,1,LAA,AL,493,1873,373,572,111,26,98,307,102,14,269,489,20,27,0,26,23,
sanchhe01,2012,1,SFN,NL,216,541,38,133,29,0,9,82,0,1,23,142,1,6,0,8,12,
torreal01,2014,1,SDN,NL,70,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
chiriro01,2014,1,TEX,AL,126,389,43,90,20,0,14,47,0,1,24,90,1,7,4,4,5,
altuvjo01,2014,1,HOU,AL,514,2083,255,630,122,10,21,160,131,36,113,241,12,15,14,18,57,
kipnija01,2012,1,CLE,AL,466,1791,257,469,92,10,44,220,88,17,204,386,7,12,9,19,37,
cowgico01,2014,1,LAA,AL,253,608,73,147,20,3,11,55,12,6,52,171,1,5,5,1,8,
constjo01,2011,1,ATL,NL,112,220,32,60,3,1,2,17,12,9,14,41,2,0,6,0,2,
martijd02,2014,1,DET,AL,375,1340,144,365,74,6,47,202,8,6,93,352,6,6,0,14,38,
turneja01,2013,1,MIA,NL,55,72,1,7,2,1,0,0,0,0,1,36,0,0,10,0,2,
paredji01,2011,1,HOU,NL,145,430,43,104,17,3,5,39,15,9,23,128,0,1,2,5,5,
goldspa01,2013,1,ARI,NL,462,1678,288,490,127,6,83,302,46,13,243,438,33,9,0,18,48,
giavojo01,2012,1,KCA,AL,125,437,53,104,20,5,4,45,8,3,20,76,0,5,0,3,9,
shuckja01,2013,1,LAA,AL,204,628,81,166,23,4,4,51,12,4,41,73,2,1,7,7,14,
lawribr01,2012,1,TOR,AL,345,1304,167,345,61,10,43,157,29,14,95,234,2,20,5,7,17,
eovalna01,2014,1,MIA,NL,83,130,5,11,0,0,0,1,0,0,4,82,0,0,13,0,0,
alvarhe01,2014,1,MIA,NL,78,88,4,20,3,0,1,8,0,0,1,33,0,0,12,2,0,
perezsa02,2014,1,KCA,AL,403,1511,163,431,77,7,44,209,1,0,62,195,7,9,0,13,54,
richaga01,2014,1,LAA,AL,56,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,
selleju01,2011,1,LAN,NL,99,252,33,50,13,1,3,17,1,1,25,59,1,4,5,1,4,
lavarry01,2012,1,BOS,AL,97,279,24,56,17,0,5,34,0,0,17,71,0,2,0,3,9,
mileywa01,2012,1,ARI,NL,107,195,10,29,5,0,1,12,0,0,8,52,0,0,26,0,4,
mastrda01,2012,1,MIN,AL,129,273,34,58,5,2,4,24,24,4,22,79,0,2,7,2,10,
reckean01,2014,1,NYN,NL,135,375,42,74,19,0,14,50,1,2,33,135,1,3,4,4,4,
parrian01,2012,1,SDN,NL,114,240,18,43,11,0,2,14,2,0,31,78,8,4,2,3,5,
surkaer01,2011,1,SFN,NL,7,9,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,
brachbr01,2014,1,BAL,AL,46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
klubeco01,2014,1,CLE,AL,62,7,1,1,0,0,0,0,0,0,1,3,0,0,1,0,0,
monteje01,2012,1,SEA,AL,188,694,62,179,25,1,23,85,0,3,44,140,6,3,0,8,20,
escobed01,2014,1,MIN,AL,258,736,93,188,44,5,9,56,4,3,46,159,1,3,8,4,6,
martile01,2014,1,TEX,AL,334,1044,142,276,40,15,15,95,70,21,71,231,3,10,20,6,12,
navaref01,2014,1,LAA,AL,76,173,18,42,11,1,1,15,2,3,16,29,2,0,3,0,1,
schaflo01,2013,1,MIL,NL,223,440,46,92,25,6,4,46,9,3,42,91,4,4,15,2,5,
taylomi01,2011,1,OAK,AL,37,102,9,17,2,0,1,1,0,0,12,35,0,0,0,0,2,
stinsjo01,2012,1,MIL,NL,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
maldoma01,2012,1,MIL,NL,200,528,49,119,21,1,16,68,1,1,41,142,2,8,8,0,11,
mesorde01,2014,1,CIN,NL,289,922,107,226,49,0,41,142,2,6,85,207,13,13,0,9,17,
milonto01,2013,1,OAK,AL,81,23,4,4,0,0,1,6,0,0,0,4,0,0,4,0,1,
richaan01,2014,1,NYA,AL,22,20,4,7,0,0,0,1,6,0,1,3,0,0,0,0,0,
satinjo01,2013,1,NYN,NL,116,251,28,61,18,0,3,22,1,1,37,82,2,3,0,1,7,
dominma01,2014,1,HOU,AL,357,1261,123,294,48,2,42,152,0,2,65,246,4,13,4,14,46,
hendrli01,2012,1,MIN,AL,17,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
pachejo01,2012,1,COL,NL,317,959,89,269,58,4,8,106,7,2,44,135,2,8,3,6,25,
rosarwi01,2013,1,COL,NL,360,1281,182,351,69,2,65,212,9,6,65,298,7,2,0,11,35,
parmech01,2013,1,MIN,AL,273,812,74,202,40,2,24,85,1,4,75,210,1,9,0,5,20,
peacobr01,2014,1,HOU,AL,31,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
brownco01,2012,1,WAS,NL,39,41,6,7,3,0,2,4,1,0,4,16,0,0,1,0,1,
lombast02,2012,1,WAS,NL,277,778,74,207,33,5,5,52,10,6,28,98,2,8,11,4,8,
axelrdy01,2014,1,CIN,NL,35,6,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,
hugheja02,2014,1,PIT,NL,158,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,
kontoge01,2014,1,SFN,NL,120,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,
lockeje01,2013,1,PIT,NL,63,108,6,11,0,0,0,0,0,0,4,60,0,0,8,0,1,
